This tab has one table with population components for Statistical Areas Level 3 in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AI349.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Population components, Statistical Areas Level 3, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,
,,,,,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Overseas departures,Net overseas migration,,,,,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,
1,New South Wales,1RNSW,Rest of NSW,111,Newcastle and Lake Macquarie,11102,Lake Macquarie - West,1012,917,95,8617,7118,1499,403,190,213,943,950,-7,6495,5384,1111,539,147,392,1070,984,86,6813,5397,1416,472,164,308,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,111,Newcastle and Lake Macquarie,11103,Newcastle,2146,1619,527,15566,15084,482,2795,1313,1482,1981,1704,277,12270,12308,-38,3746,1023,2723,1995,1607,388,12494,12214,280,3310,1121,2189,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,112,Richmond - Tweed,11201,Richmond Valley - Coastal,867,759,108,7623,7121,502,1007,482,525,797,794,3,5410,5262,148,1351,379,972,776,822,-46,5799,5056,743,1172,412,760,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,112,Richmond - Tweed,11202,Richmond Valley - Hinterland,761,730,31,5608,5792,-184,383,180,203,789,656,133,3774,4695,-921,487,140,347,752,682,70,3953,4206,-253,425,152,273,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,112,Richmond - Tweed,11203,Tweed Valley,979,1074,-95,7955,7528,427,786,368,418,953,1171,-218,6018,5578,440,1062,287,775,907,1025,-118,5960,5613,347,916,315,601,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,113,Riverina,11301,Griffith - Murrumbidgee (West),688,395,293,2433,3297,-864,559,264,295,699,491,208,1805,2515,-710,748,204,544,688,417,271,1944,2377,-433,682,223,459,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,113,Riverina,11302,Tumut - Tumbarumba,161,152,9,1009,1052,-43,86,40,46,156,180,-24,800,855,-55,113,32,81,134,145,-11,787,817,-30,99,34,65,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,113,Riverina,11303,Wagga Wagga,1450,825,625,6343,6814,-471,780,377,403,1308,848,460,5031,5649,-618,1020,279,741,1222,898,324,5005,5583,-578,885,307,578,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,114,Southern Highlands and Shoalhaven,11401,Shoalhaven,1176,1186,-10,8030,7315,715,588,279,309,1073,1267,-194,5916,6022,-106,793,217,576,1040,1252,-212,6427,5772,655,690,235,455,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,114,Southern Highlands and Shoalhaven,11402,Southern Highlands,504,516,-12,3896,3773,123,448,218,230,479,554,-75,2859,2896,-37,600,165,435,464,533,-69,3051,2930,121,522,180,342,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,115,Sydney - Baulkham Hills and Hawkesbury,11501,Baulkham Hills,1227,974,253,12193,13696,-1503,3059,1712,1347,1095,1024,71,9331,10272,-941,5063,1476,3587,1097,941,156,9519,10704,-1185,4408,1614,2794,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,115,Sydney - Baulkham Hills and Hawkesbury,11502,Dural - Wisemans Ferry,194,217,-23,2263,2392,-129,236,110,126,208,204,4,1709,1792,-83,384,87,297,197,200,-3,1757,1806,-49,343,94,249,,,,,,,
