This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in South Australia for 2023-24. It ranges from cell A1 to Q183.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population and components, Statistical Areas Level 2, South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041074,Christies Beach,11499,11600,101,0.9,-27,65,63,7.2,1607.4,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041075,Clarendon,2824,2859,35,1.2,12,14,9,123.4,23.2,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041076,Coromandel Valley,4591,4617,26,0.6,35,-53,44,4.4,1045.7,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041077,Flagstaff Hill,11127,11185,58,0.5,20,-87,125,9.8,1146.9,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041078,Hackham - Onkaparinga Hills,7245,7314,69,1,-10,42,37,23.6,309.3,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041079,Hackham West - Huntfield Heights,8009,8092,83,1,10,47,26,4.4,1850,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041080,Happy Valley,14283,14421,138,1,51,11,76,10.2,1418,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041081,Happy Valley Reservoir,0,0,0,0,0,0,0,6.5,0,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041082,Lonsdale,26,26,0,0,0,0,0,9.8,2.6,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041083,McLaren Vale,8078,8441,363,4.5,19,306,38,119.6,70.6,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041084,Morphett Vale - East,14161,14159,-2,0,7,-83,74,7.7,1842.8,,,,,,,,,,,,
4GADE,Greater Adelaide,403,Adelaide - South,40304,Onkaparinga,403041085,Morphett Vale - West,10446,10488,42,0.4,26,-35,51,5.1,2065.6,,,,,,,,,,,,
