This tab has one table with population components for Statistical Areas Level 4 in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AG98.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Population components, Statistical Areas Level 4, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,
,,,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,,,,,,,,,,,,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,,,,,,,,
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,3969,2561,1408,18788,14905,3883,3034,1257,1777,4063,2759,1304,13795,10913,2882,4027,988,3039,4027,2743,1284,14908,10899,4009,3770,1129,2641,,,,,,,,,,,,
2,Victoria,2RVIC,Rest of Vic.,204,Hume,1854,1682,172,13557,12714,843,1123,471,652,1874,1829,45,10345,9710,635,1442,371,1071,1800,1767,33,10981,9917,1064,1333,419,914,,,,,,,,,,,,
2,Victoria,2RVIC,Rest of Vic.,205,Latrobe - Gippsland,3201,3062,139,18655,15120,3535,1436,598,838,3111,3136,-25,13251,11265,1986,1872,476,1396,3241,3104,137,13994,11651,2343,1709,536,1173,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,6163,3169,2994,58605,65514,-6909,33931,20024,13907,5436,3002,2434,41840,45624,-3784,58406,17768,40638,5550,2974,2576,40385,46868,-6483,50860,20293,30567,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,207,Melbourne - Inner East,2887,2838,49,26165,29817,-3652,12254,6538,5716,2719,2822,-103,19706,21703,-1997,20415,5480,14935,2802,2750,52,19473,22616,-3143,18399,6257,12142,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,208,Melbourne - Inner South,4304,3215,1089,27425,31459,-4034,10037,5353,4684,3781,3175,606,20553,21926,-1373,16776,4494,12282,3989,3107,882,20972,22518,-1546,15039,5136,9903,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,209,Melbourne - North East,7074,3412,3662,31774,33751,-1977,9177,3875,5302,6830,3509,3321,24688,24222,466,14881,3085,11796,6931,3317,3614,26669,24287,2382,13762,3528,10234,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,210,Melbourne - North West,6434,2653,3781,27364,27621,-257,7041,2920,4121,6166,2603,3563,20949,19878,1071,11785,2305,9480,6553,2378,4175,21446,20513,933,10556,2630,7926,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,211,Melbourne - Outer East,5680,3821,1859,26642,33157,-6515,5899,2454,3445,5275,3764,1511,20120,22924,-2804,9602,1968,7634,5239,3626,1613,21932,23919,-1987,8843,2254,6589,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,11507,5137,6370,45081,48104,-3023,20921,9502,11419,11055,5118,5937,33430,35826,-2396,34672,7556,27116,11345,5189,6156,35389,37994,-2605,31327,8626,22701,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,12997,4261,8736,48129,44016,4113,16968,7136,9832,12875,4210,8665,37305,32123,5182,27835,5767,22068,13719,4135,9584,38711,33946,4765,25188,6593,18595,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,3315,2833,482,19374,21570,-2196,2320,976,1344,3126,2794,332,14782,15825,-1043,3646,776,2870,3120,2794,326,16177,16074,103,3472,889,2583,,,,,,,,,,,,
2,Victoria,2RVIC,Rest of Vic.,215,North West,1813,1706,107,8387,9416,-1029,1210,505,705,1733,1711,22,6100,7490,-1390,1619,398,1221,1798,1702,96,6145,7519,-1374,1431,450,981,,,,,,,,,,,,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,1549,1353,196,8407,8548,-141,1056,440,616,1510,1446,64,5783,6774,-991,1371,345,1026,1618,1375,243,6147,6618,-471,1280,391,889,,,,,,,,,,,,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,1283,1285,-2,6603,6993,-390,821,344,477,1332,1311,21,4847,5133,-286,1054,270,784,1313,1214,99,4786,5225,-439,966,304,662,,,,,,,,,,,,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,2717,1767,950,17593,16936,657,1977,1022,955,2409,2000,409,13886,12770,1116,3718,1055,2663,2387,1809,578,14691,12904,1787,3661,1173,2488,,,,,,,,,,,,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,2863,1607,1256,22337,21950,387,2912,1518,1394,2660,1709,951,17118,16788,330,5090,1570,3520,2623,1731,892,18336,17736,600,5323,1781,3542,,,,,,,,,,,,
3,Queensland,3GBRI,Greater Brisbane,303,Brisbane - South,4673,2152,2521,33240,33481,-241,8806,4666,4140,4213,2136,2077,23915,25441,-1526,16612,4988,11624,4126,2155,1971,26370,28770,-2400,16157,5661,10496,,,,,,,,,,,,
3,Queensland,3GBRI,Greater Brisbane,304,Brisbane - West,1726,1130,596,18640,19182,-542,4326,2910,1416,1627,1181,446,14066,14359,-293,8580,3482,5098,1474,1180,294,15282,15787,-505,8071,3941,4130,,,,,,,,,,,,
3,Queensland,3GBRI,Greater Brisbane,305,Brisbane Inner City,2776,1241,1535,37883,35277,2606,10728,6806,3922,2536,1237,1299,26228,26280,-52,20912,8028,12884,2327,1235,1092,28250,30136,-1886,19841,9087,10754,,,,,,,,,,,,
3,Queensland,3RQLD,Rest of Qld,306,Cairns,2938,1938,1000,16918,15755,1163,2951,1515,1436,2905,2035,870,12792,12040,752,4633,1555,3078,2704,2079,625,13066,12791,275,4898,1763,3135,,,,,,,,,,,,
3,Queensland,3RQLD,Rest of Qld,307,Darling Downs - Maranoa,1661,1160,501,10196,10005,191,546,282,264,1587,1258,329,8616,8006,610,834,291,543,1606,1258,348,8820,8476,344,778,327,451,,,,,,,,,,,,
3,Queensland,3RQLD,Rest of Qld,308,Central Queensland,3061,1598,1463,15852,14887,965,1446,737,709,2818,1726,1092,12931,11464,1467,2245,765,1480,2772,1697,1075,13254,12036,1218,2103,866,1237,,,,,,,,,,,,
3,Queensland,3RQLD,Rest of Qld,309,Gold Coast,7495,4255,3240,43531,37920,5611,10230,5255,4975,6927,4604,2323,31611,29393,2218,20032,5381,14651,6778,4347,2431,32365,31220,1145,18017,6085,11932,,,,,,,,,,,,
3,Queensland,3GBRI,Greater Brisbane,310,Ipswich,5516,2139,3377,31962,25592,6370,3199,1642,1557,5498,2270,3228,26348,22175,4173,6623,1684,4939,5375,2227,3148,27504,22943,4561,5706,1909,3797,,,,,,,,,,,,
3,Queensland,3GBRI,Greater Brisbane,311,Logan - Beaudesert,5635,2332,3303,33400,25672,7728,3448,1771,1677,5655,2425,3230,28183,21843,6340,7340,1810,5530,5610,2367,3243,30649,23085,7564,6305,2053,4252,,,,,,,,,,,,
3,Queensland,3RQLD,Rest of Qld,312,Mackay - Isaac - Whitsunday,2371,1156,1215,12871,11716,1155,1286,662,624,2225,1255,970,10063,9227,836,2292,680,1612,2201,1259,942,10097,9669,428,2077,766,1311,,,,,,,,,,,,
3,Queensland,3GBRI,Greater Brisbane,313,Moreton Bay - North,3004,2516,488,24602,18477,6125,1989,1025,964,2885,2632,253,20336,15892,4444,4170,1049,3121,2860,2527,333,21760,16367,5393,3619,1185,2434,,,,,,,,,,,,
3,Queensland,3GBRI,Greater Brisbane,314,Moreton Bay - South,2887,1029,1858,21757,19659,2098,1933,998,935,2787,1086,1701,17524,16724,800,4111,1029,3082,2621,1068,1553,18133,17680,453,3529,1163,2366,,,,,,,,,,,,
3,Queensland,3RQLD,Rest of Qld,315,Queensland - Outback,1300,489,811,5940,6904,-964,467,240,227,1340,509,831,4844,5649,-805,688,251,437,1282,506,776,5133,6044,-911,696,276,420,,,,,,,,,,,,
3,Queensland,3RQLD,Rest of Qld,316,Sunshine Coast,3973,3357,616,31431,24321,7110,4133,2127,2006,3700,3449,251,23589,18679,4910,8075,2169,5906,3695,3222,473,24924,19682,5242,7039,2459,4580,,,,,,,,,,,,
3,Queensland,3RQLD,Rest of Qld,317,Toowoomba,2040,1268,772,12628,11030,1598,1536,789,747,2011,1360,651,10239,9129,1110,2625,804,1821,1989,1310,679,10360,9777,583,2518,912,1606,,,,,,,,,,,,
3,Queensland,3RQLD,Rest of Qld,318,Townsville,3030,1669,1361,17357,16669,688,1779,950,829,2876,1751,1125,14408,13991,417,2967,998,1969,2950,1788,1162,14532,13976,556,2867,1123,1744,,,,,,,,,,,,
3,Queensland,3RQLD,Rest of Qld,319,Wide Bay,3096,3234,-138,25866,19791,6075,1743,898,845,2778,3546,-768,21162,15754,5408,2975,920,2055,2878,3490,-612,21385,15922,5463,2810,1042,1768,,,,,,,,,,,,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,2867,2583,284,20010,20287,-277,7066,3344,3722,2689,2539,150,14998,15827,-829,12098,3163,8935,2697,2450,247,15375,16961,-1586,10212,3424,6788,,,,,,,,,,,,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,5874,3310,2564,22489,22392,97,5339,1779,3560,5669,3534,2135,17805,17855,-50,8692,1875,6817,5799,3375,2424,18283,18418,-135,7718,2030,5688,,,,,,,,,,,,
4,South Australia,4GADE,Greater Adelaide,403,Adelaide - South,4008,3116,892,18955,19311,-356,4408,1589,2819,3830,3344,486,14240,14389,-149,7409,1579,5830,3731,3212,519,14364,14933,-569,6374,1714,4660,,,,,,,,,,,,
