This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Tasmania for 2023-24. It ranges from cell A1 to Q108.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Estimated resident population and components, Statistical Areas Level 2, Tasmania",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011045,Ravenswood,3994,3969,-25,-0.6,21,-57,11,10,396.3,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011046,Riverside,7481,7497,16,0.2,4,-21,33,48.3,155.2,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011047,South Launceston,4929,4880,-49,-1,-22,-72,45,2.8,1757.8,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011048,Summerhill - Prospect,5060,4992,-68,-1.3,23,-107,16,8.8,566.8,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011049,Trevallyn,4900,4902,2,0,27,-55,30,9.7,504.4,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011050,Waverley - St Leonards,4104,4114,10,0.2,-4,-7,21,55.1,74.6,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011051,West Launceston,4254,4229,-25,-0.6,22,-73,26,4,1066.8,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011052,Youngtown - Relbia,5175,5254,79,1.5,-4,72,11,14.9,351.9,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60202,Meander Valley - West Tamar,602021053,Beauty Point - Beaconsfield,4168,4204,36,0.9,-15,39,12,259.2,16.2,,,,,,,,,,,,
6RTAS,Rest of Tas.,602,Launceston and North East,60202,Meander Valley - West Tamar,602021054,Deloraine,6277,6325,48,0.8,-48,57,39,2521.2,2.5,,,,,,,,,,,,
