This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in the Australian Capital Territory for 2023-24. It ranges from cell A1 to Q143.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Estimated resident population and components, Statistical Areas Level 2, Australian Capital Territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011019,Macgregor (ACT),6972,6942,-30,-0.4,92,-179,57,4.3,1623.9,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011020,Macquarie,3141,3154,13,0.4,17,-54,50,1.7,1854.9,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011021,McKellar,2660,2633,-27,-1,16,-64,21,1.4,1862.1,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011022,Melba,3375,3382,7,0.2,19,-59,47,2.3,1465.8,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011023,Page,3015,2983,-32,-1.1,-59,-31,58,1.3,2255.6,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011024,Scullin,3081,3039,-42,-1.4,29,-118,47,1.4,2131.1,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011025,Spence,2539,2521,-18,-0.7,32,-69,19,1.5,1655.9,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011026,Weetangera,2816,2841,25,0.9,8,-1,18,1.6,1794.5,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011111,Molonglo Corridor,16,16,0,0,0,0,0,24.9,0.6,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011142,Macnamara,0,0,0,0,0,0,0,4.2,0,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011143,Strathnairn,1575,1915,340,21.6,40,293,7,4.2,456.4,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011144,West Belconnen,22,22,0,0,0,0,0,3,7.3,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80103,Canberra East,801031031,Hume,394,394,0,0,0,0,0,8.6,46,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80103,Canberra East,801031032,Kowen,23,23,0,0,0,0,0,76.9,0.3,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80103,Canberra East,801031113,Canberra East,1178,1194,16,1.4,-4,9,11,31.1,38.4,,,,,,,,,,,,
