This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in the Northern Territory for 2023-24. It ranges from cell A1 to Q77.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7. Estimated resident population and components, Statistical Areas Level 2, Northern Territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021021,Lyons (NT),6777,6989,212,3.1,100,4,108,7,992.6,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021022,Malak - Marrara,4653,4656,3,0.1,44,-98,57,4.8,963.7,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021023,Millner,2649,2635,-14,-0.5,9,-89,66,1.5,1795.3,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021024,Moil,2109,2112,3,0.1,19,-65,49,1,2026.1,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021025,Nightcliff,4094,4121,27,0.7,40,-111,98,1.5,2839.7,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021026,Rapid Creek,3376,3408,32,0.9,52,-116,96,1.9,1777.2,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021027,Tiwi,2597,2585,-12,-0.5,-25,-47,60,3.1,828.9,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021028,Wagaman,2076,2055,-21,-1,16,-99,62,0.8,2452.9,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021029,Wanguri,1902,1866,-36,-1.9,3,-68,29,0.9,2107.3,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021030,Wulagi,2706,2687,-19,-0.7,21,-75,35,1.3,2127.6,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031031,Howard Springs,5717,5929,212,3.7,16,149,47,118,50.2,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031032,Humpty Doo,9114,9266,152,1.7,67,53,32,157.4,58.9,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031033,Koolpinyah,14,14,0,0,0,0,0,1199.6,0,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031034,Virginia,3483,3598,115,3.3,27,71,17,54.7,65.7,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031035,Weddell,4614,4642,28,0.6,30,-28,26,1408.7,3.3,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041036,Bakewell,3321,3345,24,0.7,37,-71,58,1.3,2537,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041037,Driver,2868,2894,26,0.9,43,-66,49,1.7,1686.8,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041038,Durack - Marlow Lagoon,4865,4883,18,0.4,65,-100,53,11.7,416.7,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041039,Gray,3416,3387,-29,-0.8,30,-97,38,1.5,2253.6,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041040,Moulden,3279,3253,-26,-0.8,36,-74,12,1.8,1858.4,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041041,Palmerston - North,4767,4747,-20,-0.4,41,-105,44,4.8,996.2,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041042,Palmerston - South,8146,8546,400,4.9,169,155,76,25,342.1,,,,,,,,,,,,
