This tab has one table with the estimated resident population for Statistical Areas Level 4 in Australia as at 30 June 2024. It ranges from cell A1 to AD98.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Estimated resident population, Statistical Areas Level 4, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.
2,Victoria,2RVIC,Rest of Vic.,205,Latrobe - Gippsland,236201,237040,238011,239186,240758,242747,245281,248334,251818,256142,259952,263159,266024,268583,271644,275780,280322,284989,289830,294831,299912,304424,307781,311434
2,Victoria,2GMEL,Greater Melbourne,206,Melbourne - Inner,431549,441412,450686,460547,470414,480345,492684,505194,518026,526230,532351,549795,571493,592422,611882,633471,649010,661331,670256,670684,626913,636905,676193,702853
2,Victoria,2GMEL,Greater Melbourne,207,Melbourne - Inner East,333832,334821,335411,336286,337817,339937,343806,348379,352770,354957,356245,359544,363855,368527,373470,379590,384367,387591,390970,391447,377518,379631,392466,401517
2,Victoria,2GMEL,Greater Melbourne,208,Melbourne - Inner South,353530,356514,359054,362115,365366,370194,376252,382949,390239,393350,395206,400456,406078,412335,418467,425967,430188,434407,437776,438341,427065,428804,440319,449558
2,Victoria,2GMEL,Greater Melbourne,209,Melbourne - North East,388370,390954,394116,396565,401371,406937,414978,424488,435340,444623,454330,466731,479318,491185,503812,519100,529858,538719,546453,552028,546262,553249,568832,585062
2,Victoria,2GMEL,Greater Melbourne,210,Melbourne - North West,280196,283267,286867,290880,294907,299857,305840,312323,320401,326252,331282,338712,347133,357156,367808,381178,393548,405821,418549,428334,429028,436673,450787,463821
2,Victoria,2GMEL,Greater Melbourne,211,Melbourne - Outer East,469227,471678,473213,473467,474720,477402,481457,486118,492222,494454,495565,499371,503724,508334,513491,519929,524880,528356,531078,531241,522758,521547,527888,534103
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,545375,554434,566134,577600,589131,602481,617719,635453,655058,669823,684430,703106,722578,742604,765391,791564,814283,836746,859376,876136,870398,885164,915821,942073
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,453290,464240,477447,490693,507357,524142,545102,567442,593477,618574,640336,664234,687536,710786,735070,762558,789193,815523,841435,860519,864113,886794,922709,955653
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,244880,248259,251103,253798,256289,259465,263922,269092,274254,277594,279621,283894,288352,292681,296621,301030,304789,308095,310564,312377,311264,310894,313053,316065
2,Victoria,2RVIC,Rest of Vic.,215,North West,150966,151164,150662,150144,149994,150211,150107,150139,150462,150219,149634,150355,150981,151278,151422,151907,152885,153876,154779,155797,155154,154937,154790,154493
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,119439,120115,120763,120747,121325,122334,123203,124340,125562,126533,127002,128244,129328,130322,131170,132118,133427,134639,135916,137108,137406,138077,138176,138837
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,119667,120090,120330,120464,120728,121058,121455,121866,122306,122537,122599,123046,123476,123747,124010,124491,125195,125971,126692,127464,127631,127716,128235,128557
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,174252,179176,184777,189417,193287,196655,201553,206835,212175,215140,218728,222061,224829,227269,228928,231403,234445,237146,239936,242115,243445,246007,250195,255048
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,169525,172256,173759,175117,177339,179218,182767,187186,192008,195271,198482,202009,205817,208950,211712,214765,218201,221306,224562,226900,227782,230819,235620,240654
3,Queensland,3GBRI,Greater Brisbane,303,Brisbane - South,268460,274609,279986,285034,290629,296979,303544,310889,318764,323377,328774,335540,341254,345959,350888,356779,362713,367464,372374,376879,377159,383579,395754,405821
