This tab has one table with population components for Local Government Areas in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AE557.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1. Population components, Local Government Areas, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,
,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,,,,,,,,,,,,
S/T code,S/T name,LGA code,LGA name (a),no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,,,,,,,,
1,New South Wales,12700,Dungog,102,62,40,898,759,139,20,10,10,77,96,-19,633,589,44,28,8,20,85,85,0,694,571,123,24,8,16,,,,,,,,,,,,
1,New South Wales,12730,Edward River,117,101,16,576,603,-27,57,27,30,94,111,-17,441,505,-64,76,22,54,96,107,-11,444,496,-52,67,22,45,,,,,,,,,,,,
1,New South Wales,12750,Eurobodalla,352,516,-164,3172,2821,351,192,91,101,343,559,-216,2417,2207,210,238,71,167,317,536,-219,2429,2108,321,204,77,127,,,,,,,,,,,,
1,New South Wales,12850,Fairfield,2114,1566,548,9725,14539,-4814,3813,1783,2030,2008,1464,544,7263,9976,-2713,6436,1392,5044,1943,1305,638,7987,10217,-2230,5621,1524,4097,,,,,,,,,,,,
1,New South Wales,12870,Federation,121,168,-47,1072,1020,52,45,20,25,112,168,-56,920,817,103,58,17,41,133,164,-31,997,864,133,52,19,33,,,,,,,,,,,,
1,New South Wales,12900,Forbes,128,105,23,574,658,-84,25,11,14,134,104,30,469,561,-92,32,9,23,111,124,-13,524,534,-10,28,9,19,,,,,,,,,,,,
1,New South Wales,12930,Georges River,1635,1050,585,9542,12135,-2593,4679,2204,2475,1434,1069,365,7318,9212,-1894,8008,1730,6278,1450,1009,441,8060,9747,-1687,6720,1897,4823,,,,,,,,,,,,
1,New South Wales,12950,Gilgandra,77,56,21,297,347,-50,17,8,9,66,61,5,244,255,-11,24,7,17,58,49,9,227,253,-26,20,7,13,,,,,,,,,,,,
1,New South Wales,13010,Glen Innes Severn,73,100,-27,797,764,33,24,11,13,91,106,-15,612,575,37,32,9,23,92,105,-13,552,569,-17,28,9,19,,,,,,,,,,,,
1,New South Wales,13310,Goulburn Mulwaree,361,306,55,2370,2280,90,251,118,133,421,366,55,1846,1867,-21,337,92,245,364,312,52,1827,1710,117,337,101,236,,,,,,,,,,,,
1,New South Wales,13340,Greater Hume,116,88,28,882,773,109,37,17,20,124,116,8,738,603,135,48,14,34,129,100,29,744,661,83,42,15,27,,,,,,,,,,,,
1,New South Wales,13450,Griffith,415,202,213,1214,1830,-616,422,199,223,403,236,167,987,1452,-465,563,154,409,414,194,220,1001,1360,-359,522,169,353,,,,,,,,,,,,
1,New South Wales,13550,Gunnedah,199,138,61,1092,1128,-36,57,27,30,170,103,67,953,942,11,77,20,57,212,116,96,891,917,-26,67,23,44,,,,,,,,,,,,
1,New South Wales,13660,Gwydir,52,70,-18,436,411,25,7,3,4,51,75,-24,360,326,34,9,2,7,44,89,-45,324,332,-8,8,2,6,,,,,,,,,,,,
1,New South Wales,13800,Hawkesbury,948,487,461,5139,5503,-364,300,140,160,862,449,413,3841,4352,-511,490,110,380,816,452,364,4053,4174,-121,438,121,317,,,,,,,,,,,,
1,New South Wales,13850,Hay,31,39,-8,161,217,-56,24,11,13,30,31,-1,132,159,-27,32,9,23,40,41,-1,189,175,14,28,9,19,,,,,,,,,,,,
1,New South Wales,13910,Hilltops,214,219,-5,1276,1298,-22,80,38,42,227,226,1,991,1054,-63,106,29,77,249,184,65,926,1021,-95,109,32,77,,,,,,,,,,,,
1,New South Wales,14000,Hornsby,1337,1101,236,10548,12627,-2079,3261,1910,1351,1176,1096,80,8039,9496,-1457,5388,1714,3674,1097,1048,49,8091,10258,-2167,4760,1876,2884,,,,,,,,,,,,
1,New South Wales,14100,Hunters Hill,102,194,-92,1727,1380,347,227,154,73,79,188,-109,1068,1069,-1,364,140,224,92,167,-75,980,1061,-81,333,153,180,,,,,,,,,,,,
1,New South Wales,14170,Inner West,2320,1207,1113,16263,20462,-4199,5692,3292,2400,1827,1180,647,12862,14689,-1827,9463,3120,6343,1904,1045,859,12034,15017,-2983,8168,3421,4747,,,,,,,,,,,,
1,New South Wales,14220,Inverell,251,180,71,1269,1357,-88,116,54,62,219,204,15,1066,1100,-34,153,43,110,228,205,23,985,1072,-87,134,46,88,,,,,,,,,,,,
1,New South Wales,14300,Junee,78,60,18,565,614,-49,78,36,42,69,52,17,415,453,-38,104,28,76,54,52,2,369,492,-123,90,31,59,,,,,,,,,,,,
1,New South Wales,14350,Kempsey,381,398,-17,2473,2186,287,148,68,80,377,393,-16,1763,1616,147,196,54,142,312,367,-55,1819,1611,208,173,59,114,,,,,,,,,,,,
1,New South Wales,14400,Kiama,175,200,-25,1793,1865,-72,172,81,91,174,207,-33,1258,1355,-97,230,63,167,154,202,-48,1377,1290,87,202,69,133,,,,,,,,,,,,
1,New South Wales,14500,Ku-ring-gai,824,830,-6,8584,10192,-1608,3624,2508,1116,674,813,-139,7196,7841,-645,5899,2318,3581,662,838,-176,7188,8412,-1224,5296,2536,2760,,,,,,,,,,,,
1,New South Wales,14550,Kyogle,75,105,-30,958,840,118,34,16,18,100,103,-3,640,654,-14,45,12,33,105,114,-9,700,603,97,39,13,26,,,,,,,,,,,,
1,New South Wales,14600,Lachlan,98,69,29,420,475,-55,22,11,11,99,81,18,319,347,-28,27,9,18,76,74,2,342,394,-52,26,9,17,,,,,,,,,,,,
1,New South Wales,14650,Lake Macquarie,2434,2102,332,15861,14257,1604,1140,536,604,2267,2050,217,12158,10842,1316,1524,420,1104,2325,2146,179,12462,10886,1576,1331,458,873,,,,,,,,,,,,
1,New South Wales,14700,Lane Cove,564,193,371,4335,4640,-305,1244,830,414,498,136,362,3455,3611,-156,2060,807,1253,501,141,360,3433,3747,-314,1868,895,973,,,,,,,,,,,,
1,New South Wales,14750,Leeton,143,93,50,827,935,-108,62,30,32,145,110,35,603,723,-120,84,23,61,128,100,28,640,707,-67,72,25,47,,,,,,,,,,,,
1,New South Wales,14850,Lismore,460,403,57,4071,4359,-288,276,132,144,469,349,120,2755,3495,-740,348,101,247,423,385,38,2765,3116,-351,305,110,195,,,,,,,,,,,,
1,New South Wales,14870,Lithgow,220,241,-21,1418,1484,-66,82,39,43,194,209,-15,1108,1262,-154,110,30,80,212,218,-6,1086,1125,-39,96,33,63,,,,,,,,,,,,
1,New South Wales,14900,Liverpool,3460,1198,2262,19772,18338,1434,2961,1388,1573,3258,1260,1998,15839,14130,1709,5211,1085,4126,3165,1137,2028,16543,14597,1946,4509,1185,3324,,,,,,,,,,,,
1,New South Wales,14920,Liverpool Plains,85,79,6,660,622,38,14,7,7,79,70,9,491,507,-16,20,6,14,88,92,-4,465,469,-4,18,6,12,,,,,,,,,,,,
1,New South Wales,14950,Lockhart,34,32,2,266,230,36,8,4,4,33,38,-5,207,184,23,11,3,8,27,37,-10,232,151,81,10,3,7,,,,,,,,,,,,
1,New South Wales,15050,Maitland,1302,616,686,8671,6574,2097,413,194,219,1332,608,724,7076,5874,1202,549,152,397,1246,610,636,7007,5730,1277,479,166,313,,,,,,,,,,,,
1,New South Wales,15240,Mid-Coast,828,1386,-558,7301,6178,1123,351,164,187,856,1355,-499,5565,4708,857,456,130,326,840,1324,-484,5364,4478,886,410,141,269,,,,,,,,,,,,
1,New South Wales,15270,Mid-Western,337,249,88,1774,1841,-67,112,52,60,322,255,67,1437,1490,-53,150,41,109,292,222,70,1542,1403,139,131,44,87,,,,,,,,,,,,
1,New South Wales,15300,Moree Plains,189,92,97,892,1104,-212,36,17,19,218,113,105,764,903,-139,49,13,36,195,113,82,745,907,-162,41,15,26,,,,,,,,,,,,
1,New South Wales,15350,Mosman,286,177,109,2489,3252,-763,1038,718,320,231,189,42,1942,2050,-108,1674,665,1009,219,167,52,1813,2454,-641,1494,727,767,,,,,,,,,,,,
1,New South Wales,15520,Murray River,121,134,-13,1267,1058,209,62,29,33,106,141,-35,919,634,285,84,22,62,124,162,-38,864,638,226,73,25,48,,,,,,,,,,,,
1,New South Wales,15560,Murrumbidgee,33,37,-4,311,319,-8,27,13,14,60,38,22,238,245,-7,36,10,26,55,24,31,256,257,-1,32,11,21,,,,,,,,,,,,
1,New South Wales,15650,Muswellbrook,219,96,123,1710,1821,-111,110,51,59,239,136,103,1401,1375,26,147,41,106,217,119,98,1211,1351,-140,128,44,84,,,,,,,,,,,,
1,New South Wales,15700,Nambucca Valley,197,257,-60,1944,1693,251,64,30,34,212,277,-65,1439,1268,171,86,25,61,182,280,-98,1445,1186,259,76,25,51,,,,,,,,,,,,
1,New South Wales,15750,Narrabri,205,132,73,927,1110,-183,40,18,22,179,116,63,785,854,-69,53,15,38,190,128,62,694,742,-48,45,15,30,,,,,,,,,,,,
1,New South Wales,15800,Narrandera,63,63,0,453,482,-29,31,15,16,66,93,-27,348,379,-31,42,12,30,66,81,-15,330,344,-14,36,12,24,,,,,,,,,,,,
1,New South Wales,15850,Narromine,102,66,36,453,517,-64,18,9,9,100,65,35,397,437,-40,25,7,18,87,61,26,402,453,-51,22,7,15,,,,,,,,,,,,
1,New South Wales,15900,Newcastle,2018,1547,471,14961,14768,193,2714,1276,1438,1852,1623,229,11610,11735,-125,3633,996,2637,1888,1534,354,11758,11655,103,3212,1085,2127,,,,,,,,,,,,
1,New South Wales,15950,North Sydney,981,311,670,7806,9513,-1707,3051,2112,939,806,284,522,5982,6903,-921,4998,1955,3043,754,296,458,5752,7544,-1792,4364,2138,2226,,,,,,,,,,,,
1,New South Wales,15990,Northern Beaches,3085,1881,1204,12270,17025,-4755,5570,3246,2324,2527,1869,658,9367,11675,-2308,8964,2755,6209,2401,1757,644,8865,11789,-2924,8167,3014,5153,,,,,,,,,,,,
1,New South Wales,16100,Oberon,64,54,10,461,451,10,17,8,9,54,63,-9,394,398,-4,24,7,17,54,57,-3,336,344,-8,22,7,15,,,,,,,,,,,,
1,New South Wales,16150,Orange,645,376,269,3051,3277,-226,324,153,171,588,393,195,2448,2685,-237,433,119,314,561,401,160,2434,2491,-57,399,128,271,,,,,,,,,,,,
1,New South Wales,16200,Parkes,186,146,40,999,1176,-177,59,27,32,168,165,3,820,973,-153,79,20,59,174,156,18,858,941,-83,69,23,46,,,,,,,,,,,,
1,New South Wales,16260,Parramatta,3392,1258,2134,22651,27485,-4834,10255,5610,4645,3003,1219,1784,16973,22501,-5528,17378,5011,12367,2929,1177,1752,17951,23509,-5558,15152,5485,9667,,,,,,,,,,,,
1,New South Wales,16350,Penrith,3388,1315,2073,15069,16396,-1327,1744,814,930,3057,1316,1741,12075,12601,-526,2936,636,2300,3085,1236,1849,13143,12657,486,2592,696,1896,,,,,,,,,,,,
1,New South Wales,16380,Port Macquarie-Hastings,841,1067,-226,6795,5157,1638,481,226,255,706,1083,-377,5304,4103,1201,645,176,469,775,1077,-302,5240,4071,1169,563,193,370,,,,,,,,,,,,
1,New South Wales,16400,Port Stephens,713,653,60,7117,6091,1026,478,223,255,706,667,39,5543,4974,569,641,176,465,667,669,-2,5610,4812,798,559,191,368,,,,,,,,,,,,
1,New South Wales,16490,Queanbeyan-Palerang,925,321,604,5164,5307,-143,717,346,371,961,358,603,4712,4863,-151,934,269,665,916,327,589,4927,4571,356,852,295,557,,,,,,,,,,,,
