This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Western Australia for 2023-24. It ranges from cell A1 to Q274.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5. Estimated resident population and components, Statistical Areas Level 2, Western Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
5GPER,Greater Perth,505,Perth - North West,50503,Wanneroo,505031306,Wanneroo - Sinagra,15684,16139,455,2.9,35,163,257,15.5,1040.6,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50601,Armadale,506011110,Armadale - Wungong - Brookdale,26382,27670,1288,4.9,255,723,310,25.4,1089.7,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50601,Armadale,506011111,Ashendon - Lesley,3,3,0,0,0,0,0,326.3,0,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50601,Armadale,506011112,Camillo - Champion Lakes,6400,6661,261,4.1,31,158,72,8.1,819.8,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50601,Armadale,506011114,Kelmscott,11024,11193,169,1.5,67,-50,152,15,744,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50601,Armadale,506011115,Mount Nasura - Mount Richon - Bedfordale,8782,8922,140,1.6,33,51,56,61.1,146,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50601,Armadale,506011116,Roleystone,7610,7707,97,1.3,34,4,59,74.8,103,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50601,Armadale,506011117,Seville Grove,12358,12722,364,2.9,155,24,185,4.6,2786.7,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50601,Armadale,506011307,Harrisdale,13259,13792,533,4,139,31,363,5.8,2388.3,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50601,Armadale,506011308,Piara Waters - Forrestdale,19340,20548,1208,6.2,337,510,361,38.4,534.7,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50602,Belmont - Victoria Park,506021118,Belmont - Ascot - Redcliffe,16323,16688,365,2.2,-52,-62,479,10.9,1537.7,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50602,Belmont - Victoria Park,506021119,East Victoria Park - Carlisle,18942,19561,619,3.3,125,-190,684,6.3,3119.3,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50602,Belmont - Victoria Park,506021120,Kewdale Commercial,0,0,0,0,0,0,0,4.9,0,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50602,Belmont - Victoria Park,506021121,Perth Airport,23,23,0,0,0,0,0,20.3,1.1,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50602,Belmont - Victoria Park,506021123,Victoria Park - Lathlain - Burswood,17680,18279,599,3.4,110,-303,792,7.6,2412.9,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50602,Belmont - Victoria Park,506021309,Cloverdale,9667,9931,264,2.7,96,-138,306,4,2501.8,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50602,Belmont - Victoria Park,506021310,Kewdale,8011,8254,243,3,62,-108,289,2.9,2819,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50602,Belmont - Victoria Park,506021311,Rivervale,12011,12481,470,3.9,93,-145,522,3.3,3736,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50603,Canning,506031124,Bentley - Wilson - St James,22928,23893,965,4.2,-77,-454,1496,11.1,2143.2,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50603,Canning,506031125,Canning Vale - West,10516,10705,189,1.8,67,-161,283,8.7,1225.5,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50603,Canning,506031126,Canning Vale Commercial,5,5,0,0,0,0,0,6.7,0.7,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50603,Canning,506031127,Cannington - Queens Park,23208,24183,975,4.2,298,-574,1251,9.5,2541.6,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50603,Canning,506031128,Parkwood - Ferndale - Lynwood,14787,15111,324,2.2,32,-50,342,8.6,1750,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50603,Canning,506031129,Riverton - Shelley - Rossmoyne,15377,15751,374,2.4,-20,-121,515,6.4,2453.3,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50603,Canning,506031130,Welshpool,15,15,0,0,0,0,0,8.3,1.8,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50603,Canning,506031131,Willetton,20730,21179,449,2.2,39,-315,725,8.7,2422.4,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50604,Gosnells,506041132,Beckenham - Kenwick - Langford,22055,22803,748,3.4,198,-161,711,19,1202.8,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50604,Gosnells,506041133,Canning Vale - East,26275,26872,597,2.3,106,-286,777,9.9,2705.1,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50604,Gosnells,506041134,Gosnells,22890,23467,577,2.5,103,37,437,15.5,1512.7,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50604,Gosnells,506041135,Huntingdale - Southern River,24413,25308,895,3.7,240,161,494,18,1405.3,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50604,Gosnells,506041136,Maddington - Orange Grove - Martin,16522,17133,611,3.7,88,51,472,53.3,321.5,,,,,,,,,,,,
5GPER,Greater Perth,506,Perth - South East,50604,Gosnells,506041137,Thornlie,25338,25696,358,1.4,146,-376,588,11.6,2216.9,,,,,,,,,,,,
